location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
8570,"Goodland","pm10",62,"µg/m³","2025-11-12T01:00:00Z","2025-11-11T18:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",97,"µg/m³","2025-11-12T02:00:00Z","2025-11-11T19:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",77,"µg/m³","2025-11-12T03:00:00Z","2025-11-11T20:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",96,"µg/m³","2025-11-12T04:00:00Z","2025-11-11T21:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",122,"µg/m³","2025-11-12T05:00:00Z","2025-11-11T22:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",50,"µg/m³","2025-11-12T06:00:00Z","2025-11-11T23:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",30,"µg/m³","2025-11-12T07:00:00Z","2025-11-12T00:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",29,"µg/m³","2025-11-12T08:00:00Z","2025-11-12T01:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",23,"µg/m³","2025-11-12T09:00:00Z","2025-11-12T02:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",23,"µg/m³","2025-11-12T10:00:00Z","2025-11-12T03:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm10",21,"µg/m³","2025-11-12T11:00:00Z","2025-11-12T04:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
